Status,Country,ReactorCode,Reactor Name,Type,Grid Connection,Commercial operation,Shutdown,LinkA,LinkB
Operational,FRANCE,FR-36,PALUEL-1,PWR,6/1/1984,12/1/1985,1/1/2021,https://en.wikipedia.org/wiki/Paluel_Nuclear_Power_Plant,https://en.wikipedia.org/wiki/Paluel_Nuclear_Power_Plant
Operational,FRANCE,FR-72,CIVAUX-1,PWR,12/1/1997,1/1/2002,1/1/2021,https://en.wikipedia.org/wiki/Civaux_Nuclear_Power_Plant,https://en.wikipedia.org/wiki/Civaux_Nuclear_Power_Plant
Operational,FRANCE,FR-32,BLAYAIS-1,PWR,6/1/1981,12/1/1981,1/1/2021,https://en.wikipedia.org/wiki/Blayais_Nuclear_Power_Plant,https://en.wikipedia.org/wiki/Blayais_Nuclear_Power_Plant
Operational,FRANCE,FR-61,GOLFECH-1,PWR,6/1/1990,2/1/1991,1/1/2021,https://en.wikipedia.org/wiki/Golfech_Nuclear_Power_Plant,https://en.wikipedia.org/wiki/Golfech_Nuclear_Power_Plant
Operational,UK,GB-18A,DUNGENESS B-1,GCR,4/1/1983,4/1/1985,1/1/2021,https://en.wikipedia.org/wiki/Dungeness_nuclear_power_station,https://en.wikipedia.org/wiki/Dungeness_nuclear_power_station
Operational,SPAIN,ES-10,COFRENTES,BWR,10/1/1984,3/1/1985,1/1/2021,https://en.wikipedia.org/wiki/Cofrentes_Nuclear_Power_Plant,https://en.wikipedia.org/wiki/Cofrentes_Nuclear_Power_Plant
Operational,UK,GB-19A,HARTLEPOOL A-1,GCR,8/1/1983,4/1/1989,1/1/2021,https://en.wikipedia.org/wiki/Hartlepool_nuclear_power_station,https://en.wikipedia.org/wiki/Hartlepool_nuclear_power_station
Operational,FRANCE,FR-63,PENLY-1,PWR,5/1/1990,12/1/1990,1/1/2021,https://en.wikipedia.org/wiki/Penly_Nuclear_Power_Plant,https://en.wikipedia.org/wiki/Penly_Nuclear_Power_Plant
Operational,FRANCE,FR-17,ST. LAURENT B-1,PWR,1/1/1981,8/1/1983,1/1/2021,https://en.wikipedia.org/wiki/Saint-Laurent_Nuclear_Power_Plant,https://en.wikipedia.org/wiki/Saint-Laurent_Nuclear_Power_Plant
Operational,UK,GB-24,SIZEWELL B,PWR,2/1/1995,9/1/1995,1/1/2021,https://en.wikipedia.org/wiki/Sizewell_nuclear_power_stations,https://en.wikipedia.org/wiki/Sizewell_nuclear_power_stations
