Status,Country,ReactorCode,Reactor Name,Type,Grid Connection,Commercial operation,Shutdown,Latitude,Longitude,Link1,Link2,Link3
Operational,FINLAND,FI-2,LOVIISA-2,PWR,11/1/1980,1/1/1981,,60.37222,26.34722,https://en.wikipedia.org/wiki/Loviisa_Nuclear_Power_Plant,https://www.world-nuclear.org/reactor/default.aspx/LOVIISA-1,
Operational,SWEDEN,SE-9,FORSMARK-1,BWR,6/1/1980,12/1/1980,,60.40333,18.16667,https://en.wikipedia.org/wiki/Forsmark_Nuclear_Power_Plant,https://www.world-nuclear.org/reactor/default.aspx/FORSMARK-1,
Operational,SWEDEN,SE-11,FORSMARK-2,BWR,1/1/1981,7/1/1981,,60.40333,18.16667,https://en.wikipedia.org/wiki/Forsmark_Nuclear_Power_Plant,https://www.world-nuclear.org/reactor/default.aspx/FORSMARK-1,
Operational,SWEDEN,SE-14,FORSMARK-3,BWR,3/1/1985,8/1/1985,,60.40333,18.16667,https://en.wikipedia.org/wiki/Forsmark_Nuclear_Power_Plant,https://www.world-nuclear.org/reactor/default.aspx/FORSMARK-1,
Operational,FINLAND,FI-3,OLKILUOTO-1,BWR,9/1/1978,10/1/1979,,61.23694,21.44083,https://en.wikipedia.org/wiki/Olkiluoto_Nuclear_Power_Plant,https://www.world-nuclear.org/information-library/country-profiles/countries-a-f/finland.aspx,
Operational,FINLAND,FI-4,OLKILUOTO-2,BWR,2/1/1980,7/1/1982,,61.23694,21.44083,https://en.wikipedia.org/wiki/Olkiluoto_Nuclear_Power_Plant,https://www.world-nuclear.org/information-library/country-profiles/countries-a-f/finland.aspx,
Operational,RUSSIA,RU-12,KOLA-1,PWR,6/1/1973,12/1/1973,,67.467,32.467,https://en.wikipedia.org/wiki/Kola_Nuclear_Power_Plant,,
Operational,RUSSIA,RU-13,KOLA-2,PWR,12/1/1974,2/1/1975,,67.467,32.467,https://en.wikipedia.org/wiki/Kola_Nuclear_Power_Plant,,
Operational,RUSSIA,RU-32,KOLA-3,PWR,3/1/1981,12/1/1982,,67.467,32.467,https://en.wikipedia.org/wiki/Kola_Nuclear_Power_Plant,,
Operational,RUSSIA,RU-33,KOLA-4,PWR,10/1/1984,12/1/1984,,67.467,32.467,https://en.wikipedia.org/wiki/Kola_Nuclear_Power_Plant,,
Operational,RUSSIA,RU-142,BILIBINO-2,LWGR,12/1/1974,2/1/1975,,68.05028,166.53861,https://en.wikipedia.org/wiki/Bilibino_Nuclear_Power_Plant,,
Operational,RUSSIA,RU-143,BILIBINO-3,LWGR,12/1/1975,2/1/1976,,68.05028,166.53861,https://en.wikipedia.org/wiki/Bilibino_Nuclear_Power_Plant,,
Operational,RUSSIA,RU-144,BILIBINO-4,LWGR,12/1/1976,1/1/1977,,68.05028,166.53861,https://en.wikipedia.org/wiki/Bilibino_Nuclear_Power_Plant,,
Operational,RUSSIA,RU-151,AKADEMIK LOMONOSOV-1,PWR,12/1/2019,5/1/2020,,69.7,170.316667,https://en.wikipedia.org/wiki/Akademik_Lomonosov,https://www.world-nuclear.org/reactor/default.aspx/AKADEMIK%2520LOMONOSOV-1,
Operational,RUSSIA,RU-152,AKADEMIK LOMONOSOV-2,PWR,12/1/2019,5/1/2020,,69.7,170.316667,https://en.wikipedia.org/wiki/Akademik_Lomonosov,https://www.world-nuclear.org/reactor/default.aspx/AKADEMIK%2520LOMONOSOV-1,
Shut Down,JAPAN,JP-15,OHI-1, PWR,12/1/1977,3/1/1979,3/1/2018,35.540625,135.652033,https://en.wikipedia.org/wiki/%25C5%258Ci_Nuclear_Power_Plant,,
Shut Down,JAPAN,JP-19,OHI-2, PWR,10/1/1978,12/1/1979,3/1/2018,35.540625,135.652033,https://en.wikipedia.org/wiki/%25C5%258Ci_Nuclear_Power_Plant,,
Shut Down,ARMENIA,AM-18,ARMENIAN-1, PWR,12/1/1976,10/1/1977,2/1/1989,40.180844,44.148908,https://en.wikipedia.org/wiki/Armenian_Nuclear_Power_Plant,,
Shut Down,SWEDEN,SE-6,BARSEBACK-1, BWR,5/1/1975,7/1/1975,11/1/1999,55.744444,12.920833,https://en.wikipedia.org/wiki/Barseb%25C3%25A4ck_Nuclear_Power_Plant,,
Shut Down,SWEDEN,SE-8,BARSEBACK-2, BWR,3/1/1977,7/1/1977,5/1/2005,55.744444,12.920833,https://en.wikipedia.org/wiki/Barseb%25C3%25A4ck_Nuclear_Power_Plant,,
Shut Down,RUSSIA,RU-3,BELOYARSK-1, LWGR,4/1/1964,4/1/1964,1/1/1983,56.84167,61.3225,https://en.wikipedia.org/wiki/Beloyarsk_Nuclear_Power_Station,,
Shut Down,RUSSIA,RU-6,BELOYARSK-2, LWGR,12/1/1967,12/1/1969,1/1/1990,56.84167,61.3225,https://en.wikipedia.org/wiki/Beloyarsk_Nuclear_Power_Station,,
Shut Down,UK,GB-3A,BERKELEY-1, GCR,6/1/1962,6/1/1962,3/1/1989,51.6925,-2.493611,https://en.wikipedia.org/wiki/Berkeley_nuclear_power_station,https://www.world-nuclear.org/reactor/default.aspx/BERKELEY-1,
Shut Down,UK,GB-3B,BERKELEY-2, GCR,6/1/1962,10/1/1962,10/1/1988,51.6925,-2.493611,https://en.wikipedia.org/wiki/Berkeley_nuclear_power_station,https://www.world-nuclear.org/reactor/default.aspx/BERKELEY-1,
Shut Down,GERMANY,DE-12,BIBLIS-A, PWR,8/1/1974,2/1/1975,8/1/2011,49.71,8.41528,https://en.wikipedia.org/wiki/Biblis_Nuclear_Power_Plant,,
Shut Down,GERMANY,DE-18,BIBLIS-B, PWR,4/1/1976,1/1/1977,8/1/2011,49.71,8.41528,https://en.wikipedia.org/wiki/Biblis_Nuclear_Power_Plant,,
Shut Down,RUSSIA,RU-141,BILIBINO-1, LWGR,1/1/1974,4/1/1974,1/1/2019,68.05028,166.53861,https://en.wikipedia.org/wiki/Bilibino_Nuclear_Power_Plant,,
Shut Down,SLOVAKIA,SK-2,BOHUNICE-1, PWR,12/1/1978,4/1/1980,12/1/2006,48.49444,17.68194,https://en.wikipedia.org/wiki/Bohunice_Nuclear_Power_Plant,https://www.world-nuclear.org/information-library/country-profiles/countries-o-s/slovakia.aspx,
Shut Down,SLOVAKIA,SK-3,BOHUNICE-2, PWR,3/1/1980,1/1/1981,12/1/2008,48.49444,17.68194,https://en.wikipedia.org/wiki/Bohunice_Nuclear_Power_Plant,https://www.world-nuclear.org/information-library/country-profiles/countries-o-s/slovakia.aspx,
Shut Down,UK,GB-4A,BRADWELL-1, GCR,7/1/1962,7/1/1962,3/1/2002,51.74139,0.89694,https://en.wikipedia.org/wiki/Bradwell_nuclear_power_station,,
Shut Down,UK,GB-4B,BRADWELL-2, GCR,7/1/1962,11/1/1962,3/1/2002,51.74139,0.89694,https://en.wikipedia.org/wiki/Bradwell_nuclear_power_station,,
