Status,Country,ReactorCode,Reactor Name,Type,Grid Connection,Commercial operation,Shutdown,,,,ARMENIA,BELGIUM,BULGARIA,CANADA,FRANCE,GERMANY,ITALY,JAPAN,KAZAKHSTAN,"KOREA,REP.OF",LITHUANIA,NETHERLANDS,RUSSIA,SLOVAKIA,SPAIN,SWEDEN,SWITZERLAND,UK,UKRAINE,USA,CZECHREP.,SLOVENIA,ROMANIA,INDIA,CHINA,SOUTHAFRICA,HUNGARY,FINLAND,BRAZIL,"IRAN,ISL.REP.",ARGENTINA,PAKISTAN,MEXICO
Shut Down,LITHUANIA,LT-46,IGNALINA-1, LWGR,12/1/1983,5/1/1985,12/1/2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shut Down,LITHUANIA,LT-47,IGNALINA-2, LWGR,8/1/1987,12/1/1987,12/1/2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shut Down,NETHERLANDS,NL-1,DODEWAARD, BWR,10/1/1968,3/1/1969,3/1/1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shut Down,RUSSIA,RU-1,APS-1 OBNINSK, LWGR,6/1/1954,12/1/1954,4/1/2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shut Down,RUSSIA,RU-3,BELOYARSK-1, LWGR,4/1/1964,4/1/1964,1/1/1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shut Down,RUSSIA,RU-6,BELOYARSK-2, LWGR,12/1/1967,12/1/1969,1/1/1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shut Down,RUSSIA,RU-141,BILIBINO-1, LWGR,1/1/1974,4/1/1974,1/1/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shut Down,RUSSIA,RU-15,LENINGRAD-1, LWGR,12/1/1973,11/1/1974,12/1/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shut Down,RUSSIA,RU-4,NOVOVORONEZH-1, PWR,9/1/1964,12/1/1964,2/1/1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shut Down,RUSSIA,RU-8,NOVOVORONEZH-2, PWR,12/1/1969,4/1/1970,8/1/1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shut Down,RUSSIA,RU-9,NOVOVORONEZH-3, PWR,12/1/1971,6/1/1972,12/1/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shut Down,SLOVAKIA,SK-1,BOHUNICE A1, HWGCR,12/1/1972,12/1/1972,2/1/1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shut Down,SLOVAKIA,SK-2,BOHUNICE-1, PWR,12/1/1978,4/1/1980,12/1/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shut Down,SLOVAKIA,SK-3,BOHUNICE-2, PWR,3/1/1980,1/1/1981,12/1/2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shut Down,SPAIN,ES-1,JOSE CABRERA-1, PWR,7/1/1968,8/1/1969,4/1/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shut Down,SPAIN,ES-2,SANTA MARIA DE GARONA, BWR,3/1/1971,5/1/1971,8/1/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shut Down,SPAIN,ES-3,VANDELLOS-1, GCR,5/1/1972,8/1/1972,7/1/1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shut Down,SWEDEN,SE-1,AGESTA, PHWR,5/1/1964,5/1/1964,6/1/1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shut Down,SWEDEN,SE-6,BARSEBACK-1, BWR,5/1/1975,7/1/1975,11/1/1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
