Years,Continent,Countries,Reactor Count
1/1/2001,Asia,KAZAKHSTAN,0
1/1/2002,Asia,KAZAKHSTAN,0
1/1/2003,Asia,KAZAKHSTAN,0
1/1/2004,Asia,KAZAKHSTAN,0
1/1/2005,Asia,KAZAKHSTAN,0
1/1/2006,Asia,KAZAKHSTAN,0
1/1/2007,Asia,KAZAKHSTAN,0
1/1/2008,Asia,KAZAKHSTAN,0
1/1/2009,Asia,KAZAKHSTAN,0
1/1/2010,Asia,KAZAKHSTAN,0
1/1/2011,Asia,KAZAKHSTAN,0
1/1/2012,Asia,KAZAKHSTAN,0
1/1/2013,Asia,KAZAKHSTAN,0
1/1/2014,Asia,KAZAKHSTAN,0
1/1/2015,Asia,KAZAKHSTAN,0
1/1/2016,Asia,KAZAKHSTAN,0
1/1/2017,Asia,KAZAKHSTAN,0
1/1/2018,Asia,KAZAKHSTAN,0
1/1/2019,Asia,KAZAKHSTAN,0
1/1/2020,Asia,KAZAKHSTAN,0
1/1/1954,Asia,SOUTH KOREA,0
1/1/1955,Asia,SOUTH KOREA,0
1/1/1956,Asia,SOUTH KOREA,0
1/1/1957,Asia,SOUTH KOREA,0
1/1/1958,Asia,SOUTH KOREA,0
1/1/1959,Asia,SOUTH KOREA,0
1/1/1960,Asia,SOUTH KOREA,0
1/1/1961,Asia,SOUTH KOREA,0
1/1/1962,Asia,SOUTH KOREA,0
1/1/1963,Asia,SOUTH KOREA,0
1/1/1964,Asia,SOUTH KOREA,0
1/1/1965,Asia,SOUTH KOREA,0
1/1/1966,Asia,SOUTH KOREA,0
1/1/1967,Asia,SOUTH KOREA,0
1/1/1968,Asia,SOUTH KOREA,0
1/1/1969,Asia,SOUTH KOREA,0
1/1/1970,Asia,SOUTH KOREA,0
1/1/1971,Asia,SOUTH KOREA,0
1/1/1972,Asia,SOUTH KOREA,0
1/1/1973,Asia,SOUTH KOREA,0
1/1/1974,Asia,SOUTH KOREA,0
1/1/1975,Asia,SOUTH KOREA,0
1/1/1976,Asia,SOUTH KOREA,0
1/1/1977,Asia,SOUTH KOREA,1
1/1/1978,Asia,SOUTH KOREA,1
1/1/1979,Asia,SOUTH KOREA,1
1/1/1980,Asia,SOUTH KOREA,1
1/1/1981,Asia,SOUTH KOREA,1
1/1/1982,Asia,SOUTH KOREA,2
1/1/1983,Asia,SOUTH KOREA,3
1/1/1984,Asia,SOUTH KOREA,3
1/1/1985,Asia,SOUTH KOREA,5
1/1/1986,Asia,SOUTH KOREA,7
1/1/1987,Asia,SOUTH KOREA,7
1/1/1988,Asia,SOUTH KOREA,8
1/1/1989,Asia,SOUTH KOREA,9
1/1/1990,Asia,SOUTH KOREA,9
1/1/1991,Asia,SOUTH KOREA,9
1/1/1992,Asia,SOUTH KOREA,9
1/1/1993,Asia,SOUTH KOREA,9
1/1/1994,Asia,SOUTH KOREA,10
1/1/1995,Asia,SOUTH KOREA,11
1/1/1996,Asia,SOUTH KOREA,11
1/1/1997,Asia,SOUTH KOREA,12
1/1/1998,Asia,SOUTH KOREA,15
1/1/1999,Asia,SOUTH KOREA,16
1/1/2000,Asia,SOUTH KOREA,16
1/1/2001,Asia,SOUTH KOREA,17
1/1/2002,Asia,SOUTH KOREA,18
1/1/2003,Asia,SOUTH KOREA,19
1/1/2004,Asia,SOUTH KOREA,19
1/1/2005,Asia,SOUTH KOREA,20
1/1/2006,Asia,SOUTH KOREA,20
1/1/2007,Asia,SOUTH KOREA,20
1/1/2008,Asia,SOUTH KOREA,20
1/1/2009,Asia,SOUTH KOREA,20
1/1/2010,Asia,SOUTH KOREA,21
1/1/2011,Asia,SOUTH KOREA,21
1/1/2012,Asia,SOUTH KOREA,23
1/1/2013,Asia,SOUTH KOREA,23
1/1/2014,Asia,SOUTH KOREA,23
1/1/2015,Asia,SOUTH KOREA,24
1/1/2016,Asia,SOUTH KOREA,25
1/1/2017,Asia,SOUTH KOREA,25
1/1/2018,Asia,SOUTH KOREA,24
1/1/2019,Asia,SOUTH KOREA,25
1/1/2020,Asia,SOUTH KOREA,24
1/1/1954,Europe,LITHUANIA,0
1/1/1955,Europe,LITHUANIA,0
1/1/1956,Europe,LITHUANIA,0
1/1/1957,Europe,LITHUANIA,0
1/1/1958,Europe,LITHUANIA,0
1/1/1959,Europe,LITHUANIA,0
1/1/1960,Europe,LITHUANIA,0
1/1/1961,Europe,LITHUANIA,0
1/1/1962,Europe,LITHUANIA,0
1/1/1963,Europe,LITHUANIA,0
1/1/1964,Europe,LITHUANIA,0
1/1/1965,Europe,LITHUANIA,0
1/1/1966,Europe,LITHUANIA,0
1/1/1967,Europe,LITHUANIA,0
1/1/1968,Europe,LITHUANIA,0
1/1/1969,Europe,LITHUANIA,0
1/1/1970,Europe,LITHUANIA,0
1/1/1971,Europe,LITHUANIA,0
1/1/1972,Europe,LITHUANIA,0
1/1/1973,Europe,LITHUANIA,0
1/1/1974,Europe,LITHUANIA,0
1/1/1975,Europe,LITHUANIA,0
1/1/1976,Europe,LITHUANIA,0
1/1/1977,Europe,LITHUANIA,0
1/1/1978,Europe,LITHUANIA,0
1/1/1979,Europe,LITHUANIA,0
1/1/1980,Europe,LITHUANIA,0
